"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"BARRETOS",12,"2024-03-18","covid","Previsto",2024-03-15,8.57025,5.8,0,2.77025,15,0,1
"BARRETOS",12,"2024-03-20","covid","Previsto",2024-03-15,12.7505,9.39,0,3.3605,21,0,0
"BARRETOS",12,"2024-03-27","covid","Previsto",2024-03-13,9.32625,6.3,0,3.02625,16,0,1
"BARRETOS",12,"2024-04-10","covid","Previsto",2024-03-22,2.89,1.8,0,1.09,5,0,1
"BARRETOS",12,"2024-04-17","covid","Previsto",2024-03-22,2.95,1.8,0,1.15,5,0,1
"BARRETOS",12,"2024-04-24","covid","Previsto",2024-03-22,2.94025,1.8,0,1.14025,5,0,1
"BARRETOS",12,"2024-05-08","covid","Previsto",2024-03-22,3.00025,1.8,0,1.20025,5,0,1
"BARRETOS",7,"2024-05-15","covid","Previsto",2024-05-01,0.50025,0,0,0.50025,0,1,1
"BARRETOS",7,"2024-05-23","covid","Previsto",2024-04-30,0.52,0,0,0.52,0,1,1
"BARRETOS",7,"2024-05-29","covid","Previsto",2024-04-30,0.57025,0,0,0.57025,0,1,1
"BARRETOS",7,"2024-06-05","covid","Previsto",2024-04-30,0.980749999999999,0,0,0.980749999999999,0,1,1
"BARRETOS",5,"2024-06-12","covid","Previsto",2024-05-29,92846132.8197499,0.8,0,92846132.0197499,4,1,1
"BARRETOS",5,"2024-06-26","covid","Previsto",2024-05-29,429869730.388745,0.8,0,429869729.588745,4,1,1
"BARRETOS",5,"2024-07-04","covid","Previsto",2024-05-29,1562730277.64524,0.8,0,1562730276.84524,4,1,1
"BARRETOS",6,"2024-07-23","covid","Previsto",2024-05-29,1.56025,0,0,1.56025,0,1,1
"BARRETOS",6,"2024-08-14","covid","Previsto",2024-08-10,17.05575,8.2,0,8.85574999999999,23,0,1
"BARRETOS",6,"2024-08-21","covid","Previsto",2024-08-10,16.854,8.6,0,8.254,25,0,1
"BARRETOS",6,"2024-08-28","covid","Previsto",2024-08-22,3.11075,0.4,0,2.71075,2,1,1
"BARRETOS",6,"2024-09-03","covid","Previsto",2024-08-22,2.7305,0.4,0,2.3305,2,1,1
"BARRETOS",7,"2024-09-11","covid","Previsto",2024-08-31,1.77025,0,0.4,1.37025,2,1,1
"BARRETOS",9,"2024-09-18","covid","Previsto",2024-09-13,3.18025,0.8,0,2.38025,4,1,1
"BARRETOS",10,"2024-09-25","covid","Previsto",2024-09-14,2.53025,0.6,0,1.93025,3,1,1
"BARRETOS",11,"2024-10-02","covid","Previsto",2024-09-21,5.48025,3.8,0,1.68025,9,0,1
